complexity,loss,equation,score,sympy_format,lambda_format
1,6124.102,111.50044,0.0,111.500440000000,PySRFunction(X=>111.500440000000)
3,5935.409,x2 - -91.46033,0.01564809726171061,x2 - 1*(-91.46033),PySRFunction(X=>x2 - 1*(-91.46033))
4,5339.51,"mod(123.549706, cube(x2))",0.10580205045160154,"Mod(123.549706, x2**3)","PySRFunction(X=>Mod(123.549706, x2**3))"
5,5339.023,"abs(mod(123.74016, cube(x2)))",9.121103064205803e-05,"Abs(Mod(123.74016, x2**3))","PySRFunction(X=>Abs(Mod(123.74016, x2**3)))"
6,5214.054,"mod(123.549706, square(x2 * -1.97438))",0.023685005242046954,"Mod(123.549706, 3.8981763844*x2**2)","PySRFunction(X=>Mod(123.549706, 3.8981763844*x2**2))"
7,5117.8066,"abs(mod(155.19221, cube(x2)) - x0)",0.018631723364465096,"Abs(x0 - Mod(155.19221, x2**3))","PySRFunction(X=>Abs(x0 - Mod(155.19221, x2**3)))"
10,5070.6294,"abs(abs(x0 - mod(162.88554, cube(mod(x2, 24084.623)))))",0.0030869989717152908,"Abs(x0 - Mod(162.88554, (Mod(1.0*x2, 24084.623))**3))","PySRFunction(X=>Abs(x0 - Mod(162.88554, (Mod(1.0*x2, 24084.623))**3)))"
11,5067.46,"abs(abs(abs(mod(142.54358, cube(x2)) - mod(-84.967705, x0))))",0.0006252460356586285,"Abs(Mod(-84.967705, x0) - Mod(142.54358, x2**3))","PySRFunction(X=>Abs(Mod(-84.967705, x0) - Mod(142.54358, x2**3)))"
13,4935.424,"33.85764 - mod(x3, mod(x2 - 120.6213, -114.9474 - (x1 / x2)))",0.01320055987976418,"33.85764 - Mod(x3, Mod(1.0*x2 - 120.6213, -x1/x2 - 114.9474))","PySRFunction(X=>33.85764 - Mod(x3, Mod(1.0*x2 - 120.6213, -x1/x2 - 114.9474)))"
15,4905.4062,"(33.85764 - mod(x3, mod(x2 - 120.6213, -114.9474 - (x1 / x2)))) - x1",0.003050341535309058,"-x1 - Mod(x3, Mod(1.0*x2 - 120.6213, -x1/x2 - 114.9474)) + 33.85764","PySRFunction(X=>-x1 - Mod(x3, Mod(1.0*x2 - 120.6213, -x1/x2 - 114.9474)) + 33.85764)"
17,4889.063,"((33.85764 - mod(x3, mod(x2 - 120.6213, -114.9474 - (x1 / x2)))) - x1) - x1",0.001668616729942068,"-x1 - x1 - Mod(x3, Mod(1.0*x2 - 120.6213, -x1/x2 - 114.9474)) + 33.85764","PySRFunction(X=>-x1 - x1 - Mod(x3, Mod(1.0*x2 - 120.6213, -x1/x2 - 114.9474)) + 33.85764)"
