complexity,loss,equation,score,sympy_format,lambda_format
1,3690.3157,74.69113,0.0,74.6911300000000,PySRFunction(X=>74.6911300000000)
3,2422.56,x1 / 0.16553135,0.2104435888351994,x1/0.16553135,PySRFunction(X=>x1/0.16553135)
4,1440.8069,"mod(square(x3), 188.17607)",0.519621528403675,"Mod(1.0*x3**2, 188.17607)","PySRFunction(X=>Mod(1.0*x3**2, 188.17607))"
5,833.2752,"mod(x3, 66.12514) / 0.3317891",0.5475946231015464,"(Mod(1.0*x3, 66.12514))/0.3317891","PySRFunction(X=>(Mod(1.0*x3, 66.12514))/0.3317891)"
7,831.5814,"(mod(x3, 66.24828) / 0.324165) + -2.0540173",0.0010173852717417688,"(Mod(1.0*x3, 66.24828))/0.324165 - 2.0540173","PySRFunction(X=>(Mod(1.0*x3, 66.24828))/0.324165 - 2.0540173)"
8,823.0627,"abs(16.311007 - (mod(x3, 67.00938) / 0.2820388))",0.010296806746035411,"Abs((Mod(1.0*x3, 67.00938))/0.2820388 - 16.311007)","PySRFunction(X=>Abs((Mod(1.0*x3, 67.00938))/0.2820388 - 16.311007))"
9,733.23865,"(mod(x3, 67.00938) - (x4 / x3)) / 0.31188995",0.11556115375927073,"(Mod(1.0*x3, 67.00938) - x4/x3)/0.31188995","PySRFunction(X=>(Mod(1.0*x3, 67.00938) - x4/x3)/0.31188995)"
10,460.5956,"mod(cube(mod(-1.749197, x3)), mod(x3, 63.26605)) / 0.2662672",0.46495079412236706,"(Mod((Mod(-1.749197, x3))**3, Mod(1.0*x3, 63.26605)))/0.2662672","PySRFunction(X=>(Mod((Mod(-1.749197, x3))**3, Mod(1.0*x3, 63.26605)))/0.2662672)"
12,370.48886,"(x2 + mod(cube(mod(-1.74918, x3)), mod(x3, 63.26601))) / 0.28120515",0.10884852888798059,"(x2 + Mod((Mod(-1.74918, x3))**3, Mod(1.0*x3, 63.26601)))/0.28120515","PySRFunction(X=>(x2 + Mod((Mod(-1.74918, x3))**3, Mod(1.0*x3, 63.26601)))/0.28120515)"
14,275.20602,"(mod(x0, x1) + mod(cube(mod(-1.75037, x3)), mod(x3, 63.26601))) / 0.31319475",0.14865169799389416,"(Mod(x0, x1) + Mod((Mod(-1.75037, x3))**3, Mod(1.0*x3, 63.26601)))/0.31319475","PySRFunction(X=>(Mod(x0, x1) + Mod((Mod(-1.75037, x3))**3, Mod(1.0*x3, 63.26601)))/0.31319475)"
