puzzle_k,X_k,X_k+1
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,1
9,1,2
10,2,4
11,4,10
12,10,20
13,20,41
14,41,104
15,104,201
16,201,118
17,118,8
18,8,116
19,116,44
20,44,165
21,165,228
22,228,110
23,110,42
24,42,94
25,94,50
26,50,56
27,56,108
28,108,85
29,85,205
30,205,231
31,231,166
32,166,168
33,168,145
34,145,17
35,17,10
36,10,106
37,106,172
38,172,3
39,3,51
40,51,204
41,204,141
42,141,197
43,197,53
44,53,60
45,60,213
46,213,60
47,60,59
48,59,95
49,95,147
50,147,9
51,9,158
52,158,50
53,50,31
54,31,225
55,225,255
56,255,214
57,214,154
58,154,180
59,180,123
60,123,73
61,73,171
62,171,104
63,104,18
64,18,104
65,104,53
66,53,193
67,193,20
68,20,126
69,126,78
