Complexity,Loss,Equation
1,6053.4434,"108.65263"
3,5750.226,"puzzle_k + 73.65038"
5,5744.722,"(puzzle_k * 0.882633) - -77.754364"
7,5638.3726,"(puzzle_k + 88.06792) - (X_k * 0.1370601)"
8,5634.067,"(puzzle_k + 83.34859) - (square(X_k) * 0.0005699838)"
9,5370.617,"76.24328 - ((X_k + -264.61725) * (puzzle_k * 0.0061761253))"
11,5370.594,"((((X_k * -1.006149) + X_k) + 1.6364446) * puzzle_k) + 76.080086"
12,5176.7896,"101.07305 - ((puzzle_k + -22.6933) * (square(X_k + -196.17714) * -6.6341614e-5))"
14,5175.1846,"101.07305 - ((puzzle_k + -22.6933) * ((square(X_k + -196.17714) - X_k) * -6.6341614e-5))"
16,5174.079,"101.07305 - ((-6.6341614e-5 * (puzzle_k + -22.6933)) * (square(X_k + -196.17714) + (-1.7248641 * X_k)))"
17,5150.9087,"104.346146 - (((square(X_k + -195.13579) - square(puzzle_k)) * -7.398072e-5) * ((puzzle_k - -1.0459558) + -24.264565))"
19,5150.5723,"101.90561 - ((((square(X_k + -191.56247) - square(puzzle_k)) * -7.751423e-5) * ((puzzle_k - -0.13152955) + -23.56256)) + -2.798516)"
