Complexity,Loss,Equation
1,3090.48,"X_k"
3,2812.9556,"X_k * 0.76503944"
5,2688.642,"(-18.068344 - X_k) * -0.6877385"
6,2463.1392,"X_k + (cube(X_k) * -8.769666e-6)"
7,1740.5376,"X_k * (124.131546 / (X_k + lane))"
8,1730.5032,"square((X_k / (X_k + lane)) * 11.363109)"
9,1727.0083,"(X_k / (X_k + (lane + 1.195381))) * 127.689255"
10,1715.8981,"(puzzle_k + 84.466) * square(X_k / (lane + X_k))"
11,1699.7078,"(X_k / (lane + X_k)) * ((-177.00333 / puzzle_k) + 130.36784)"
12,1685.3732,"square(X_k / ((lane + X_k) + (X_k / puzzle_k))) * 137.63124"
13,1677.4674,"(X_k * 134.52164) / (X_k + square(cube(9.181196 / puzzle_k) - lane))"
14,1645.4006,"(X_k / (X_k + square((0.5789796 - lane) / (puzzle_k * -0.024374217)))) * 131.03592"
16,1623.18,"X_k * (131.96223 / (X_k + square((lane - (8.076001 / puzzle_k)) / (puzzle_k * 0.025832128))))"
17,1619.3032,"(X_k * 132.60034) / (X_k + square(cube(14.150366 / puzzle_k) + (lane / (puzzle_k * -0.026515173))))"
18,1607.202,"(X_k * 132.42067) / (cube(118.65335 / (puzzle_k + square(puzzle_k / (0.9709323 - cube(lane))))) + X_k)"
20,1603.8333,"X_k * (134.12186 / (cube(101.54289 / (square(puzzle_k / (1.0577073 - cube(lane))) + puzzle_k)) + (X_k + lane)))"
21,1596.3551,"X_k * (130.76329 / (cube(cube(50.28909 / (puzzle_k + square(puzzle_k / (1.218782 - cube(lane)))))) + (lane + X_k)))"
22,1589.2104,"(X_k / (((X_k + lane) + cube(100.41401 / (puzzle_k + square(puzzle_k / (cube(lane) - 1.1095626))))) - 1.0770973)) * 130.98958"
24,1584.7325,"X_k * ((149.02005 / (cube(102.70665 / (puzzle_k + square((puzzle_k + -3.2165067) / (0.63462 - cube(lane))))) + (lane + X_k))) - 0.10995572)"
26,1583.9515,"X_k * (130.20987 / (((lane + cube(62.32811 / (puzzle_k + (square((puzzle_k - 1.220216) / (cube(lane) - 1.0445142)) + -13.939547)))) + X_k) + -1.0108227))"
28,1583.9508,"((X_k * 130.20987) / ((lane + (cube(62.32811 / (puzzle_k + (square((puzzle_k - 1.220216) / (cube(lane) - 1.0445142)) + -13.939547))) + X_k)) + -1.0108227)) + 0.008417644"
