k,lane,drift,drift_prev,A
28,5,0,0,169
6,1,0,0,91
31,13,0,79,182
16,0,25,0,1
27,1,180,0,91
16,5,0,0,169
9,9,0,0,32
14,6,0,0,1
5,12,0,0,1
27,6,0,0,1
29,8,0,0,1
18,13,0,3,182
5,0,28,0,1
30,9,0,0,32
22,1,202,0,91
4,1,0,0,91
4,9,0,0,32
12,12,0,0,1
29,14,0,85,1
4,6,0,0,1
3,7,0,0,1
6,6,0,0,1
13,3,0,0,1
21,6,0,0,1
13,8,0,0,1
27,10,0,0,1
21,0,219,0,1
18,10,0,0,1
6,15,0,49,1
16,13,0,0,182
26,5,0,0,169
11,15,0,131,1
15,6,0,0,1
15,8,0,0,1
16,11,0,0,1
29,12,0,23,1
3,10,0,0,1
10,10,0,0,1
9,5,0,0,169
29,7,0,0,1
20,2,14,0,1
17,1,242,0,91
29,13,0,226,182
13,1,85,0,91
13,11,0,0,1
26,1,38,0,91
11,7,0,0,1
22,10,0,0,1
19,14,0,116,1
22,2,40,0,1
15,3,0,0,1
18,0,146,0,1
30,7,0,0,1
26,3,3,0,1
28,15,0,232,1
14,12,0,0,1
22,0,67,0,1
22,12,0,0,1
26,14,0,50,1
31,9,0,0,32
24,3,1,0,1
18,11,0,0,1
23,7,0,0,1
31,3,59,0,1
25,14,0,94,1
6,14,0,0,1
19,12,0,0,1
14,14,0,41,1
1,14,0,0,1
3,15,0,7,1
29,11,0,0,1
12,7,0,0,1
11,14,0,4,1
18,8,0,0,1
13,6,0,0,1
3,13,0,0,182
7,6,0,0,1
29,3,38,0,1
10,3,0,0,1
7,15,0,76,1
4,0,13,0,1
25,4,0,0,1
21,7,0,0,1
13,10,0,0,1
13,15,0,96,1
4,13,0,0,182
30,13,0,148,182
16,4,0,0,1
1,8,0,0,1
30,3,64,0,1
24,7,0,0,1
8,1,1,0,91
8,7,0,0,1
6,5,0,0,169
14,2,0,0,1
14,3,0,0,1
24,4,0,0,1
10,12,0,0,1
30,2,187,0,1
27,8,0,0,1
20,8,0,0,1
2,6,0,0,1
23,13,0,85,182
7,1,0,0,91
29,1,200,0,91
25,0,137,0,1
27,2,229,0,1
27,4,0,0,1
10,2,0,0,1
10,6,0,0,1
8,12,0,0,1
28,14,0,108,1
22,7,0,0,1
25,9,0,0,32
5,9,0,0,32
9,11,0,0,1
27,11,0,0,1
30,15,0,100,1
2,10,0,0,1
11,9,0,0,32
16,10,0,0,1
13,7,0,0,1
31,12,0,125,1
22,5,0,0,169
17,8,0,0,1
14,8,0,0,1
30,0,227,0,1
28,2,81,0,1
2,15,0,3,1
3,11,0,0,1
4,7,0,0,1
7,12,0,0,1
28,4,0,0,1
13,12,0,0,1
15,12,0,0,1
26,8,0,0,1
2,8,0,0,1
20,6,0,0,1
16,14,0,201,1
25,5,0,0,169
18,9,0,0,32
30,10,0,0,1
11,13,0,0,182
1,5,0,0,169
24,8,0,0,1
28,3,10,0,1
2,0,4,0,1
5,3,0,0,1
14,1,207,0,91
24,14,0,42,1
28,8,0,0,1
22,13,0,45,182
23,11,0,0,1
28,1,169,0,91
6,8,0,0,1
24,9,0,0,32
14,7,0,0,1
15,14,0,104,1
12,1,170,0,91
25,3,2,0,1
21,12,0,0,1
4,5,0,0,169
14,13,0,0,182
15,4,0,0,1
7,7,0,0,1
15,2,0,0,1
3,14,0,0,1
2,14,0,0,1
10,5,0,0,169
28,6,0,0,1
16,8,0,0,1
16,1,61,0,91
5,4,0,0,1
28,10,0,0,1
3,1,0,0,91
7,2,0,0,1
13,14,0,20,1
26,9,0,0,32
25,10,0,0,1
23,14,0,110,1
19,1,248,0,91
17,6,0,0,1
3,2,0,0,1
24,10,0,0,1
8,0,243,0,1
26,13,0,64,182
10,9,0,0,32
21,4,0,0,1
31,2,19,0,1
15,1,225,0,91
8,13,0,0,182
23,15,0,82,1
22,3,0,0,1
4,12,0,0,1
23,3,0,0,1
20,1,57,0,91
7,10,0,0,1
18,7,0,0,1
9,12,0,0,1
10,7,0,0,1
19,11,0,0,1
30,5,0,0,169
22,15,0,15,1
29,9,0,0,32
4,8,0,0,1
7,9,0,0,32
4,15,0,8,1
6,10,0,0,1
6,11,0,0,1
1,3,0,0,1
23,4,0,0,1
5,8,0,0,1
22,4,0,0,1
14,15,0,48,1
19,4,0,0,1
27,14,0,56,1
12,11,0,0,1
18,5,0,0,169
28,7,0,0,1
8,4,0,0,1
10,0,129,0,1
30,8,0,0,1
31,14,0,231,1
28,12,0,13,1
7,8,0,0,1
18,12,0,0,1
1,12,0,0,1
17,13,0,1,182
6,7,0,0,1
15,10,0,0,1
7,13,0,0,182
20,5,0,0,169
30,11,0,0,1
26,2,108,0,1
24,11,0,0,1
14,5,0,0,169
27,3,7,0,1
18,3,0,0,1
27,12,0,6,1
29,6,0,0,1
19,0,182,0,1
9,6,0,0,1
2,2,0,0,1
1,4,0,0,1
11,12,0,0,1
3,4,0,0,1
21,1,143,0,91
4,4,0,0,1
1,9,0,0,32
1,13,0,0,182
3,6,0,0,1
14,9,0,0,32
23,10,0,0,1
22,6,0,0,1
18,4,0,0,1
20,9,0,0,32
12,9,0,0,32
16,12,0,0,1
9,4,0,0,1
5,10,0,0,1
11,8,0,0,1
30,14,0,205,1
31,15,0,71,1
25,8,0,0,1
20,0,223,0,1
11,2,0,0,1
13,13,0,0,182
26,0,7,0,1
26,6,0,0,1
31,0,231,0,1
31,7,0,0,1
14,10,0,0,1
17,2,2,0,1
15,9,0,0,32
7,0,148,0,1
10,11,0,0,1
12,10,0,0,1
1,7,0,0,1
8,11,0,0,1
25,1,180,0,91
29,15,0,30,1
10,15,0,2,1
29,4,0,0,1
22,14,0,228,1
20,3,0,0,1
16,3,0,0,1
3,9,0,0,32
11,6,0,0,1
30,4,0,0,1
7,14,0,0,1
2,4,0,0,1
21,11,0,0,1
15,13,0,0,182
14,4,0,0,1
26,12,0,3,1
7,3,0,0,1
19,9,0,0,32
14,11,0,0,1
5,11,0,0,1
20,12,0,0,1
25,15,0,229,1
23,12,0,0,1
7,11,0,0,1
17,5,0,0,169
3,0,1,0,1
17,14,0,118,1
17,4,0,0,1
13,9,0,0,32
16,9,0,0,32
31,1,47,0,91
25,12,0,1,1
12,14,0,10,1
2,13,0,0,182
21,3,0,0,1
16,6,0,0,1
25,7,0,0,1
7,5,0,0,169
5,13,0,0,182
28,0,54,0,1
2,5,0,0,169
28,9,0,0,32
19,5,0,0,169
17,12,0,0,1
13,2,0,0,1
30,1,234,0,91
7,4,0,0,1
18,14,0,8,1
29,0,70,0,1
11,3,0,0,1
12,6,0,0,1
1,15,0,1,1
24,5,0,0,169
6,13,0,0,182
19,10,0,0,1
26,15,0,110,1
5,15,0,21,1
11,1,70,0,91
17,15,0,79,1
29,2,178,0,1
24,15,0,4,1
8,14,0,0,1
20,14,0,44,1
17,3,0,0,1
8,8,0,0,1
20,4,0,0,1
27,13,0,172,182
5,2,0,0,1
3,5,0,0,169
31,4,0,0,1
12,13,0,0,182
19,13,0,5,182
1,11,0,0,1
11,0,248,0,1
13,0,208,0,1
20,15,0,85,1
3,3,0,0,1
9,13,0,0,182
26,11,0,0,1
23,1,156,0,91
11,10,0,0,1
8,2,0,0,1
30,12,0,61,1
23,5,0,0,169
12,5,0,0,169
8,15,0,224,1
31,6,0,0,1
9,0,47,0,1
5,5,0,0,169
21,2,18,0,1
6,2,0,0,1
9,1,17,0,91
1,0,2,0,1
6,0,27,0,1
1,2,0,0,1
19,8,0,0,1
5,1,0,0,91
16,15,0,54,1
23,2,135,0,1
16,7,0,0,1
17,7,0,0,1
13,5,0,0,169
19,7,0,0,1
9,14,0,1,1
21,15,0,52,1
10,8,0,0,1
12,4,0,0,1
24,13,0,220,182
27,15,0,117,1
9,15,0,211,1
25,6,0,0,1
27,9,0,0,32
19,6,0,0,1
19,3,0,0,1
19,2,8,0,1
2,9,0,0,32
2,12,0,0,1
29,5,0,0,169
20,10,0,0,1
17,11,0,0,1
18,15,0,13,1
8,9,0,0,32
21,5,0,0,169
26,7,0,0,1
27,5,0,0,169
17,10,0,0,1
20,7,0,0,1
21,10,0,0,1
24,6,0,0,1
6,9,0,0,32
13,4,0,0,1
18,1,236,0,91
