SWARM TASK S1: Polynomial M-Formula Fitting

Use polynomial regression to fit m-values:
m(n, d) = a₀ + a₁·n + a₂·n² + a₃·sin(πn/5) + a₄·d + ...

DATA (8 verified bridges):
k95:  d=1, m=15,824,273,681,323,507,985,197,324,682, r=0
k100: d=2, m=150,160,343,484,063,710,130,117,172,886, r=0
k105: d=1, m=13,218,031,529,763,948,137,786,731,745,881, r=0
k110: d=2, m=88,664,858,923,185,275,332,820,227,246,048, r=2
k115: d=1, m=12,254,743,834,012,743,209,065,777,187,237,314, r=0
k120: d=1, m=472,812,741,405,083,243,691,843,358,390,434,153, r=0
k125: d=1, m=6,723,433,149,056,724,094,228,838,152,893,333,658, r=0
k130: d=1, m=332,556,582,165,731,503,237,101,098,337,697,459,087, r=0

Find best polynomial fit (up to degree 5). Test on all 8 bridges. Report accuracy.
