direction,idx,byte_pos,predicted,actual
fwd,29,16,70,0
rev,29,16,186,0
fwd,29,17,150,0
rev,29,17,94,0
fwd,29,18,178,0
rev,29,18,78,0
fwd,29,19,38,0
rev,29,19,218,0
fwd,30,0,170,71
rev,30,0,1,100
fwd,30,1,117,231
rev,30,1,195,205
fwd,30,2,70,79
rev,30,2,157,148
fwd,30,3,99,125
rev,30,3,87,61
fwd,30,16,70,0
rev,30,16,186,0
fwd,30,17,150,0
rev,30,17,94,0
fwd,30,18,178,0
rev,30,18,78,0
fwd,30,19,38,0
rev,30,19,218,0
fwd,31,0,141,46
rev,31,0,232,71
fwd,31,1,179,166
rev,31,1,48,231
fwd,31,2,1,98
rev,31,2,176,79
fwd,31,3,163,184
rev,31,3,146,125
fwd,31,16,70,0
rev,31,16,186,0
fwd,31,17,150,0
rev,31,17,94,0
fwd,31,18,178,0
rev,31,18,78,0
fwd,31,19,38,0
rev,31,19,218,0
fwd,32,0,116,216
rev,32,0,146,46
fwd,32,1,152,168
rev,32,1,214,166
fwd,32,2,20,108
rev,32,2,186,98
fwd,32,3,222,169
rev,32,3,131,184
fwd,32,4,0,1
rev,32,4,1,0
fwd,32,16,70,0
rev,32,16,186,0
fwd,32,17,150,0
rev,32,17,94,0
fwd,32,18,178,0
rev,32,18,78,0
fwd,32,19,38,0
rev,32,19,218,0
fwd,33,0,30,29
rev,33,0,215,216
fwd,33,1,78,145
rev,33,1,225,168
fwd,33,2,30,101
rev,33,2,179,108
fwd,33,3,207,74
rev,33,3,36,169
fwd,33,4,1,3
rev,33,4,3,1
fwd,33,16,70,0
rev,33,16,186,0
fwd,33,17,150,0
rev,33,17,94,0
fwd,33,18,178,0
rev,33,18,78,0
fwd,33,19,38,0
rev,33,19,218,0
fwd,34,0,99,112
rev,34,0,42,29
fwd,34,1,33,17
rev,34,1,97,145
fwd,34,2,23,210
rev,34,2,32,101
fwd,34,3,112,174
rev,34,3,136,74
fwd,34,4,3,4
rev,34,4,4,3
fwd,34,16,70,0
rev,34,16,186,0
fwd,34,17,150,0
rev,34,17,94,0
fwd,34,18,178,0
rev,34,18,78,0
fwd,34,19,38,0
rev,34,19,218,0
fwd,35,0,182,124
rev,35,0,54,112
fwd,35,1,161,10
rev,35,1,156,17
fwd,35,2,132,130
rev,35,2,208,210
fwd,35,3,212,222
rev,35,3,184,174
fwd,35,4,4,9
rev,35,4,9,4
fwd,35,16,70,0
rev,35,16,186,0
fwd,35,17,150,0
rev,35,17,94,0
fwd,35,18,178,0
rev,35,18,78,0
fwd,35,19,38,0
rev,35,19,218,0
fwd,36,0,194,147
rev,36,0,77,124
fwd,36,1,36,106
rev,36,1,188,10
fwd,36,2,52,117
rev,36,2,195,130
fwd,36,3,4,87
rev,36,3,49,222
fwd,36,4,9,23
rev,36,4,23,9
fwd,36,16,70,0
rev,36,16,186,0
fwd,36,17,150,0
rev,36,17,94,0
fwd,36,18,178,0
rev,36,18,78,0
fwd,36,19,38,0
rev,36,19,218,0
fwd,37,0,217,208
rev,37,0,138,147
fwd,37,1,68,172
rev,37,1,34,106
fwd,37,2,39,47
rev,37,2,125,117
fwd,37,3,125,56
rev,37,3,18,87
fwd,37,4,23,34
rev,37,4,34,23
fwd,37,16,70,0
rev,37,16,186,0
fwd,37,17,150,0
rev,37,17,94,0
fwd,37,18,178,0
rev,37,18,78,0
fwd,37,19,38,0
rev,37,19,218,0
fwd,38,0,22,233
rev,38,0,163,208
fwd,38,1,186,3
rev,38,1,215,172
fwd,38,2,225,131
rev,38,2,209,47
fwd,38,3,94,95
rev,38,3,57,56
fwd,38,4,34,75
rev,38,4,75,34
fwd,38,16,70,0
rev,38,16,186,0
fwd,38,17,150,0
rev,38,17,94,0
fwd,38,18,178,0
rev,38,18,78,0
